REF_DATE,GEO,DGUID,Products and product groups,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1914-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.0,,,,1
1914-02,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.0,,,,1
1914-03,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.0,,,,1
1914-04,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.0,,,,1
1914-05,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,5.9,,,,1
1914-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.0,,,,1
1914-07,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,5.9,,,,1
1914-08,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.0,,,,1
1914-09,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.0,,,,1
1914-10,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1914-11,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1914-12,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-02,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-03,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-04,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-05,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-07,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-08,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-09,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-10,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.1,,,,1
1915-11,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.3,,,,1
1915-12,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.3,,,,1
1916-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.4,,,,1
1916-02,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.5,,,,1
1916-03,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.5,,,,1
1916-04,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.5,,,,1
1916-05,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.5,,,,1
1916-06,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.6,,,,1
1916-07,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.6,,,,1
1916-08,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.6,,,,1
1916-09,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.8,,,,1
1916-10,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,6.9,,,,1
1916-11,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,7.1,,,,1
1916-12,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,7.2,,,,1
1917-01,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,7.4,,,,1
1917-02,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,7.4,,,,1
1917-03,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,7.6,,,,1
1917-04,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,7.6,,,,1
1917-05,Canada,2016A000011124,All-items,2002=100,17,units,0,v41690973,2.2,7.9,,,,1
